circuito_id,FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,HACEMOS POR NUESTRO PAIS,JUNTOS POR EL CAMBIO,LA LIBERTAD AVANZA,UNION POR LA PATRIA
0115A,1,5,43,18,72
0115B,1,2,41,27,13
01160,2,15,60,110,48
0116A,1,32,71,102,74
0116B,3,4,38,66,219
0116C,4,6,16,49,118
01170,29,326,1056,1441,487
0117A,29,68,230,314,806
0117B,0,4,28,21,24
01180,179,2343,4134,5006,3078
0118A,1,5,129,38,159
01190,4,85,120,225,79
01200,109,378,645,1377,1315
01202,0,5,14,4,13
01204,0,10,12,6,10
01210,28,185,384,590,294
01220,17,52,109,181,192
01230,17,277,519,766,365
01240,11,202,391,432,225
01250,9,120,298,329,201
0125A,8,17,22,99,186
0125B,1,6,35,64,62
0125C,5,4,14,36,19
01260,2,34,65,71,38
0126A,35,72,219,660,1241
0126B,95,73,126,593,760
0126C,8,1,29,50,50
01270,2,61,204,258,38
0127A,3,25,37,116,137
0127B,3,5,97,47,142
01280,327,3077,6555,7761,5006
01282,161,1586,3498,4101,2048
01284,158,1721,5185,4743,2353
01286,180,1734,4443,4242,2459
0128A,5,58,247,149,144
01290,1,33,61,70,14
01300,90,428,819,1224,996
0130A,0,2,36,12,16
01310,1,38,137,115,103
0131A,1,9,19,22,10
01320,20,162,393,393,294
0132A,6,7,199,113,237
01330,0,9,20,22,33
01340,2,121,170,250,101
01342,7,146,46,164,133
01345,37,1493,640,1653,1234
0134A,2,8,87,69,510
0134B,6,28,655,339,2355
0134C,2,6,84,54,524
0134D,11,28,1240,340,1787
01350,10,15,92,90,71
0135A,9,23,218,401,859
0135B,23,118,1246,1202,3348
0135C,2,6,39,63,363
01360,9,130,271,368,174
01365,0,7,11,9,8
01370,11,147,203,287,226
0137A,5,18,78,211,837
01380,14,165,354,454,128
0138A,0,11,65,39,214
0138B,8,94,810,981,3387
0138C,1,97,18,42,29
0138D,0,64,4,9,9
01390,2,51,122,166,53
0139A,1,22,10,38,561
0139B,1,105,20,62,322
01400,612,1422,3053,4353,4087
0140A,0,23,10,3,6
01410,5,24,45,128,91
0141A,0,44,5,16,95
01420,53,598,972,1659,825
0142A,161,452,1097,4915,5451
0142B,172,221,626,2847,4610
01430,20,158,295,543,491
01440,2,124,158,270,252
0144A,8,18,11,63,530
0144B,0,6,2,2,3
01450,12,38,122,131,233
0145A,2,96,53,51,85
01460,1,36,78,151,5
0146A,6,133,28,58,21
0146B,3,65,25,29,22
